gene_index,params,st1_best_val_psnr,st2_best_val_psnr,st1_best_model,st2_best_model,best_overall_psnr,best_overall_model
1,112032,36.35048294067383,35.99878692626953,outputs/a100_fast_bestpsnr_20260227_191523/gene_001/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_001/stage2_p128_best.keras,36.35048294067383,outputs/a100_fast_bestpsnr_20260227_191523/gene_001/stage1_p64_best.keras
2,268992,36.298561096191406,35.99586868286133,outputs/a100_fast_bestpsnr_20260227_191523/gene_002/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_002/stage2_p128_best.keras,36.298561096191406,outputs/a100_fast_bestpsnr_20260227_191523/gene_002/stage1_p64_best.keras
3,83456,35.860591888427734,35.56632995605469,outputs/a100_fast_bestpsnr_20260227_191523/gene_003/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_003/stage2_p128_best.keras,35.860591888427734,outputs/a100_fast_bestpsnr_20260227_191523/gene_003/stage1_p64_best.keras
4,243360,36.38251495361328,36.03134536743164,outputs/a100_fast_bestpsnr_20260227_191523/gene_004/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_004/stage2_p128_best.keras,36.38251495361328,outputs/a100_fast_bestpsnr_20260227_191523/gene_004/stage1_p64_best.keras
5,58656,35.822296142578125,35.505332946777344,outputs/a100_fast_bestpsnr_20260227_191523/gene_005/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_005/stage2_p128_best.keras,35.822296142578125,outputs/a100_fast_bestpsnr_20260227_191523/gene_005/stage1_p64_best.keras
6,4827232,37.29716491699219,36.9160270690918,outputs/a100_fast_bestpsnr_20260227_191523/gene_006/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_006/stage2_p128_best.keras,37.29716491699219,outputs/a100_fast_bestpsnr_20260227_191523/gene_006/stage1_p64_best.keras
7,3534304,37.15338897705078,36.69477462768555,outputs/a100_fast_bestpsnr_20260227_191523/gene_007/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_007/stage2_p128_best.keras,37.15338897705078,outputs/a100_fast_bestpsnr_20260227_191523/gene_007/stage1_p64_best.keras
8,3935840,37.34628677368164,36.871822357177734,outputs/a100_fast_bestpsnr_20260227_191523/gene_008/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_008/stage2_p128_best.keras,37.34628677368164,outputs/a100_fast_bestpsnr_20260227_191523/gene_008/stage1_p64_best.keras
9,2329696,37.46953201293945,37.02045440673828,outputs/a100_fast_bestpsnr_20260227_191523/gene_009/stage1_p64_best.keras,outputs/a100_fast_bestpsnr_20260227_191523/gene_009/stage2_p128_best.keras,37.46953201293945,outputs/a100_fast_bestpsnr_20260227_191523/gene_009/stage1_p64_best.keras
