generation,individual_id,decoded_architecture,predicted_psnr,params
1,93,6 4 0 1 5 5 6 5 4 4 7 5 1 1 4 2 7 5 0 0 6 7 0 7 0 0 1 7,-30.697195819336468,596352
1,94,6 1 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 7 6 7 2 3 7 6 1 1,-30.77640271207082,818496
1,95,6 1 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 7 6 7 2 3 7 6 1 1,-30.77640271207082,818496
1,96,6 4 7 7 6 6 4 1 2 1 6 7 4 4 1 7 6 3 0 2 0 2 7 1 1 5 1 1,-30.607913193449928,537216
1,97,6 2 5 2 7 6 6 0 3 4 1 5 4 0 2 1 5 1 6 7 2 1 6 0 0 7 6 6,-30.15177015493615,461904
1,98,1 4 5 0 3 5 0 0 4 6 2 7 7 1 5 7 3 0 0 3 2 7 1 0 7 2 5 2,-29.99904644503403,391616
1,99,4 3 7 1 6 5 1 7 2 1 1 3 2 4 7 2 3 5 4 5 6 5 5 7 6 2 1 3,-29.92824877550674,194656
2,0,0 7 7 4 1 0 3 0 4 2 7 0 5 2 0 4 5 2 4 7 6 2 2 2 6 3 5 5,-31.244418405216916,42528
2,1,4 7 3 5 0 0 7 7 4 0 0 0 1 6 5 5 2 3 2 2 1 2 5 2 4 4 6 3,-32.30035152884982,70128
2,2,0 7 6 7 7 0 0 3 1 1 1 6 4 6 7 4 6 2 1 0 1 5 3 1 2 7 0 6,-31.805791727167165,50320
2,3,0 4 7 5 5 1 1 4 3 7 7 7 1 3 6 0 3 2 0 3 5 1 5 5 4 4 3 4,-30.83497775994537,43712
2,4,1 3 5 2 6 0 3 0 1 3 6 2 3 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.933993005632892,267360
2,5,0 7 6 7 7 0 0 3 1 1 1 6 5 3 6 7 6 4 1 2 3 5 3 1 2 7 0 6,-31.63563444176587,78032
2,6,4 3 4 5 3 0 2 6 0 7 7 7 5 0 4 0 6 4 3 5 3 5 4 4 3 7 1 2,-31.08169043565755,61792
2,7,1 3 4 2 6 1 2 4 6 4 7 6 4 6 2 5 7 2 1 7 3 7 1 5 3 6 4 2,-31.668309204751974,128672
2,8,4 2 3 6 1 2 0 4 5 6 0 1 3 6 0 4 6 2 1 7 2 4 7 3 2 0 5 6,-31.0955681739756,77008
2,9,1 6 7 4 7 5 5 7 2 4 6 5 3 7 4 7 5 6 0 6 2 6 7 0 7 2 5 4,-31.706570812172668,232800
2,10,4 3 0 0 6 4 4 7 6 7 0 4 7 7 2 4 5 3 4 5 2 4 1 1 4 0 6 4,-30.718787016480103,54080
2,11,4 7 2 3 3 2 0 3 5 2 4 4 1 0 3 4 4 0 5 1 7 4 5 4 5 2 4 2,-28.892950556264047,45072
2,12,0 4 1 7 2 4 5 1 2 6 6 3 0 7 2 4 0 2 5 1 5 6 7 6 4 5 0 7,-30.76228795311595,60688
2,13,1 7 0 4 7 4 5 7 2 4 6 5 3 7 5 5 2 2 7 0 1 3 2 0 0 0 3 1,-31.72344637703969,282432
2,14,4 7 1 0 5 4 3 3 0 1 4 5 7 6 0 1 6 7 7 2 4 6 0 5 2 1 2 7,-31.38408944455931,93312
2,15,5 4 2 1 6 0 4 7 1 6 6 2 5 5 6 0 3 6 0 6 5 0 4 4 4 2 0 5,-31.43825887399564,153664
2,16,1 6 1 0 7 1 4 7 3 4 0 7 4 2 7 0 7 4 0 1 0 4 0 4 7 0 3 1,-31.530006454661784,219808
