epoch,loss,psnr,val_loss,val_psnr
0,0.007246759720146656,25.648046493530273,0.002382504055276513,28.79169273376465
1,0.001986507559195161,29.996110916137695,0.001633165404200554,30.62421989440918
2,0.0016020010225474834,31.202665328979492,0.0014140820130705833,31.517353057861328
3,0.001463409629650414,31.84015655517578,0.0013440698385238647,31.756969451904297
4,0.0013897123280912638,32.211753845214844,0.001264498452655971,32.364559173583984
5,0.001346477773040533,32.486263275146484,0.001234001712873578,32.52482604980469
6,0.0013163236435502768,32.677513122558594,0.0012039991561323404,32.74720001220703
7,0.0012860160786658525,32.868614196777344,0.001176244579255581,32.9517707824707
8,0.001263717538677156,33.0228385925293,0.001161329448223114,33.03434753417969
9,0.001247394597157836,33.14111328125,0.0011543987784534693,33.02816390991211
10,0.0012349439784884453,33.25323486328125,0.0011345972307026386,33.243370056152344
11,0.0012226977851241827,33.35400390625,0.0011332903522998095,33.165740966796875
12,0.0012128915404900908,33.42595291137695,0.0011113056680187583,33.473594665527344
13,0.0011961424024775624,33.537445068359375,0.0011151025537401438,33.35259246826172
14,0.0011945221340283751,33.56919860839844,0.0011046648724004626,33.42140197753906
15,0.0011830746661871672,33.65900421142578,0.001089239027351141,33.65065002441406
16,0.0011724414071068168,33.71226501464844,0.0010857057059183717,33.63505935668945
17,0.0011727818055078387,33.74543762207031,0.0010843039490282536,33.61773681640625
18,0.0011618013959378004,33.8146858215332,0.0010772959794849157,33.704105377197266
19,0.0011619941797107458,33.84782791137695,0.0010700925486162305,33.80015563964844
20,0.001155985053628683,33.91326904296875,0.0010714576346799731,33.696533203125
21,0.00115309190005064,33.93336486816406,0.001062409020960331,33.873172760009766
22,0.001144128618761897,33.992984771728516,0.0010597070213407278,33.865665435791016
23,0.0011453682091087103,34.01826095581055,0.001066878205165267,33.65968322753906
24,0.0011361251818016171,34.06024169921875,0.0010562074603512883,33.85161590576172
25,0.0011317649623379111,34.27185821533203,0.0010483836522325873,34.010562896728516
26,0.0011258763261139393,34.27440643310547,0.0010424578795209527,34.097938537597656
27,0.0011224329937249422,34.307456970214844,0.0010429018875584006,34.06867218017578
28,0.0011224806075915694,34.33171463012695,0.0010370194213464856,34.15859603881836
29,0.0011199434520676732,34.359291076660156,0.0010380614548921585,34.09406661987305
