label,pc1,pc2,Net
pool,-0.34261737954265326,2.0442982823244065,"[2, 2, 4, 4, 7, 5, 1, 1, 2, 2, 2, 2, 5, 0, 4, 0, 0, 2, 1, 4, 0, 0, 7, 5, 1, 7, 5, 0]"
pool,-6.65040961404146,-0.1293592811761382,"[5, 6, 0, 4, 7, 0, 5, 7, 0, 0, 7, 4, 0, 7, 0, 4, 7, 4, 4, 0, 0, 4, 7, 5, 0, 7, 0, 0]"
pool,2.22436396836339,0.5701864089041366,"[4, 0, 3, 0, 0, 7, 1, 2, 1, 5, 1, 3, 5, 6, 2, 3, 4, 5, 5, 5, 6, 4, 6, 1, 5, 7, 0, 1]"
pool,-0.10469135604214548,-0.43402031118176915,"[4, 7, 4, 5, 2, 1, 0, 7, 6, 5, 7, 5, 1, 0, 0, 5, 0, 4, 7, 1, 5, 0, 1, 6, 3, 7, 6, 0]"
pool,-1.839848454839789,0.6139318039566599,"[0, 1, 0, 1, 7, 4, 1, 0, 0, 5, 2, 6, 0, 7, 0, 0, 7, 5, 4, 7, 4, 0, 5, 3, 0, 2, 7, 3]"
pool,2.767175819342292,-1.0108219388736048,"[0, 7, 6, 7, 2, 2, 6, 0, 4, 3, 6, 0, 5, 5, 6, 3, 6, 1, 6, 0, 2, 2, 2, 7, 2, 7, 0, 2]"
pool,3.92091122563891,1.3545901089479018,"[2, 5, 1, 1, 3, 3, 7, 5, 1, 1, 0, 7, 3, 3, 5, 7, 1, 0, 0, 1, 0, 3, 6, 2, 6, 2, 3, 4]"
pool,3.8223623367869703,0.520824690526864,"[5, 3, 5, 6, 3, 6, 6, 2, 2, 6, 2, 2, 6, 6, 6, 5, 1, 4, 4, 5, 1, 0, 1, 0, 1, 2, 3, 2]"
pool,-0.6463054028377714,0.21400439542956806,"[2, 6, 6, 1, 7, 0, 0, 0, 2, 1, 7, 4, 4, 5, 4, 4, 3, 4, 3, 4, 5, 0, 5, 4, 5, 6, 1, 1]"
pool,0.9106196902371358,-0.561258687373477,"[1, 7, 4, 0, 4, 5, 2, 6, 0, 7, 5, 0, 1, 5, 2, 1, 5, 4, 7, 4, 0, 5, 6, 5, 1, 2, 6, 6]"
pool,-5.752395617305018,-0.3314625559206362,"[1, 7, 4, 4, 7, 0, 0, 7, 1, 4, 7, 0, 0, 7, 4, 0, 7, 1, 0, 0, 5, 5, 7, 0, 4, 3, 4, 4]"
pool,1.9760910137179237,-1.9356520958756631,"[1, 7, 2, 3, 7, 0, 5, 4, 6, 1, 6, 4, 1, 6, 6, 4, 3, 2, 2, 6, 3, 1, 4, 7, 3, 1, 7, 4]"
pool,3.0401877399934336,-1.2829741571759206,"[6, 2, 3, 0, 3, 6, 1, 7, 3, 0, 2, 3, 5, 1, 7, 6, 3, 7, 2, 7, 2, 4, 6, 5, 3, 2, 4, 4]"
pool,-1.1797750161445442,0.1600597033276998,"[5, 4, 0, 4, 7, 4, 4, 4, 5, 5, 4, 4, 0, 0, 4, 6, 2, 4, 3, 7, 1, 4, 3, 2, 4, 7, 2, 1]"
pool,1.2172397412485658,1.1026517987601974,"[0, 1, 6, 1, 0, 0, 2, 7, 4, 0, 6, 5, 0, 2, 1, 2, 5, 5, 3, 5, 3, 3, 5, 6, 0, 2, 0, 5]"
pool,3.1047713329394147,-2.0968764472815122,"[4, 1, 0, 7, 5, 2, 5, 1, 7, 6, 7, 2, 1, 3, 4, 4, 6, 7, 7, 4, 4, 7, 5, 3, 2, 6, 2, 4]"
pool,3.953734656318473,0.8967838356936756,"[0, 0, 5, 1, 0, 7, 3, 4, 3, 2, 3, 2, 4, 7, 7, 4, 0, 6, 6, 0, 6, 6, 2, 1, 3, 0, 0, 5]"
pool,2.391404119112204,0.7257599742181577,"[4, 6, 1, 1, 5, 5, 3, 3, 6, 1, 3, 3, 6, 0, 4, 0, 7, 0, 1, 1, 1, 3, 2, 1, 2, 6, 6, 7]"
pool,3.1557798129633867,1.1461942703877481,"[0, 1, 4, 5, 0, 7, 5, 0, 2, 4, 0, 4, 0, 3, 6, 7, 2, 5, 0, 1, 6, 6, 5, 0, 6, 1, 5, 4]"
pool,1.6139201318221494,-0.1656729113829654,"[4, 4, 2, 6, 6, 3, 4, 6, 0, 2, 5, 3, 2, 7, 4, 0, 6, 0, 3, 5, 5, 5, 0, 5, 5, 0, 3, 1]"
pool,-4.957906993665926,-0.33821704342759573,"[4, 1, 4, 5, 1, 5, 0, 7, 0, 0, 7, 0, 4, 7, 6, 4, 7, 4, 0, 7, 0, 4, 1, 0, 4, 7, 4, 4]"
pool,-1.0418596900570734,1.4756411357586605,"[0, 0, 5, 2, 3, 4, 0, 7, 4, 4, 1, 0, 4, 7, 4, 5, 5, 4, 4, 2, 4, 2, 3, 1, 6, 0, 0, 4]"
pool,1.9961765065610717,-0.3534637289215423,"[5, 2, 3, 2, 7, 5, 3, 5, 5, 0, 4, 1, 7, 7, 4, 0, 0, 1, 4, 4, 5, 1, 4, 7, 7, 2, 1, 7]"
pool,-1.4433983738091178,1.3909253410185047,"[4, 5, 4, 7, 7, 1, 0, 1, 1, 0, 1, 4, 2, 2, 0, 1, 7, 5, 5, 1, 5, 0, 7, 4, 4, 0, 4, 4]"
