Net,params,valid_psnr
"[4, 7, 2, 2, 5, 0, 5, 7, 1, 2, 6, 3, 3, 7, 2, 0, 7, 7, 1, 7, 2, 6, 6, 1, 1, 7, 2, 0]",59424,34.72086334
"[7, 7, 2, 3, 7, 0, 4, 7, 2, 5, 7, 3, 2, 7, 1, 0, 7, 7, 1, 7, 2, 6, 6, 1, 1, 7, 2, 7]",82656,35.30355453
"[7, 7, 2, 3, 7, 0, 4, 7, 1, 2, 7, 3, 3, 6, 1, 0, 7, 7, 1, 7, 2, 6, 6, 1, 1, 6, 2, 1]",324512,35.46389771
"[7, 7, 3, 2, 7, 0, 4, 7, 1, 2, 7, 3, 3, 7, 2, 3, 6, 7, 1, 7, 2, 6, 6, 1, 3, 6, 3, 7]",1361120,35.6192131
"[7, 7, 2, 3, 7, 0, 4, 7, 1, 2, 7, 3, 3, 6, 2, 3, 6, 7, 1, 7, 3, 6, 6, 1, 3, 6, 3, 7]",1770976,35.41807556
"[7, 6, 3, 3, 5, 0, 4, 7, 1, 2, 7, 3, 3, 6, 2, 0, 7, 7, 1, 7, 3, 6, 6, 1, 3, 5, 3, 7]",2743648,35.50931168
"[7, 6, 3, 3, 4, 0, 3, 6, 2, 2, 6, 3, 3, 6, 2, 3, 6, 7, 1, 7, 2, 6, 6, 1, 3, 6, 3, 7]",3701664,30.96977997
"[7, 6, 3, 3, 5, 3, 3, 6, 3, 3, 6, 3, 3, 6, 2, 1, 6, 7, 1, 7, 2, 6, 5, 1, 3, 5, 3, 7]",6687584,32.23215866
"[0, 6, 1, 6, 7, 0, 7, 6, 2, 0, 0, 0, 1, 7, 4, 7, 7, 5, 0, 0, 0, 0, 6, 5, 4, 3, 0, 0]",19056,34.84353638
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 1, 7, 3, 7, 7, 5, 0, 0, 0, 0, 6, 4, 4, 3, 0, 0]",3632,33.97418594
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 5, 4, 3, 0, 0]",3088,33.90839386
"[0, 7, 1, 6, 7, 0, 5, 7, 0, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 2, 4, 2, 0, 0]",3088,32.58390427
"[0, 7, 1, 7, 7, 0, 7, 7, 0, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 2, 0, 0, 7, 2, 4, 2, 0, 0]",3088,33.82643509
"[0, 7, 1, 7, 7, 0, 0, 7, 2, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 2, 4, 2, 0, 0]",3088,33.61817169
"[0, 7, 1, 6, 7, 0, 7, 7, 0, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 7, 3, 0, 7, 5, 4, 2, 0, 0]",2816,33.72266769
"[0, 7, 1, 1, 7, 0, 7, 7, 0, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 7, 3, 0, 7, 5, 4, 2, 0, 0]",2816,33.84383392
"[0, 7, 1, 6, 7, 0, 3, 7, 1, 0, 7, 0, 0, 7, 1, 7, 7, 4, 1, 7, 0, 0, 7, 3, 2, 7, 0, 0]",2272,33.93891525
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 1, 7, 4, 7, 7, 5, 0, 0, 0, 0, 7, 4, 4, 3, 0, 0]",3360,33.67570496
"[0, 7, 1, 6, 7, 0, 5, 7, 0, 0, 1, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 5, 4, 3, 0, 0]",3088,33.77332306
"[0, 7, 1, 6, 7, 0, 5, 7, 0, 0, 1, 0, 0, 7, 1, 7, 7, 5, 1, 7, 0, 0, 7, 5, 4, 3, 0, 0]",2816,33.74595642
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 1, 7, 4, 7, 7, 5, 0, 0, 0, 0, 6, 5, 4, 3, 0, 0]",5680,34.37633514
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 2, 4, 2, 0, 0]",3088,33.8132019
"[0, 7, 1, 6, 7, 0, 7, 7, 2, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 5, 4, 3, 0, 0]",3088,32.58390427
"[0, 7, 1, 6, 7, 0, 5, 7, 0, 0, 0, 0, 0, 7, 3, 7, 7, 5, 0, 0, 0, 0, 7, 5, 4, 3, 0, 0]",3088,34.10652161
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 3, 4]",84512,34.85128021
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",13952,34.55883789
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",10784,34.4773674
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",7616,34.42035675
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 3, 4, 5, 7, 1, 2, 1, 4, 4]",7616,34.38175201
"[1, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 7, 4, 7, 5, 2, 2, 4, 4, 7, 1, 2, 1, 4, 4]",6560,33.38544083
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 4]",3904,33.96707535
"[0, 7, 4, 3, 7, 4, 0, 7, 4, 6, 7, 4, 4, 7, 7, 4, 7, 4, 0, 7, 5, 2, 7, 1, 2, 7, 5, 4]",2272,33.59106827
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 7, 1, 2, 7, 0, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",3904,34.14280701
"[0, 7, 4, 3, 7, 4, 4, 7, 3, 0, 6, 0, 2, 7, 7, 4, 7, 5, 2, 2, 4, 5, 7, 1, 2, 1, 4, 3]",4720,34.16478348
"[0, 7, 4, 3, 7, 4, 0, 7, 3, 6, 7, 4, 4, 7, 7, 4, 7, 4, 0, 7, 5, 2, 7, 1, 2, 7, 5, 4]",2272,33.78348541
"[1, 7, 5, 5, 7, 5, 4, 7, 4, 3, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 2, 1, 0, 1, 3, 4]",66016,34.75271988
"[1, 7, 5, 5, 7, 5, 4, 7, 3, 2, 2, 0, 4, 7, 4, 2, 7, 3, 1, 2, 4, 4, 2, 1, 0, 1, 4, 4]",16864,34.14862823
"[1, 7, 5, 5, 7, 5, 4, 7, 3, 3, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 4, 1, 0, 1, 4, 4]",8992,34.1652832
"[1, 7, 5, 5, 7, 5, 4, 7, 4, 3, 2, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 4, 1, 0, 1, 4, 4]",8992,33.49990845
"[1, 7, 5, 5, 7, 5, 4, 7, 3, 3, 1, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 4, 1, 0, 1, 4, 4]",8992,34.79778671
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 3, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 2, 1, 0, 1, 4, 4]",5408,33.82820511
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 3, 2, 0, 4, 7, 4, 2, 7, 3, 1, 2, 4, 4, 2, 1, 0, 1, 4, 4]",5408,34.0542717
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 2, 2, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 4, 1, 0, 1, 4, 4]",3520,34.0897522
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 2, 2, 0, 4, 7, 4, 2, 7, 3, 1, 2, 4, 4, 7, 1, 0, 1, 4, 4]",3088,34.11428452
"[0, 7, 2, 6, 7, 1, 5, 7, 0, 0, 7, 4, 0, 7, 5, 1, 7, 7, 4, 7, 5, 4, 1, 0, 0, 7, 0, 5]",2544,33.4906311
"[1, 7, 5, 5, 7, 5, 4, 7, 4, 3, 3, 0, 4, 7, 4, 0, 7, 2, 1, 2, 4, 4, 4, 1, 0, 1, 4, 4]",8992,34.58841705
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 3, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 3, 1, 0, 1, 4, 4]",5408,33.81178284
"[0, 7, 5, 5, 7, 5, 4, 7, 3, 3, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 7, 1, 0, 1, 4, 4]",3088,34.0475235
"[1, 7, 5, 6, 7, 5, 4, 7, 3, 2, 3, 0, 4, 7, 4, 0, 7, 3, 1, 2, 4, 4, 3, 1, 0, 1, 4, 4]",16864,34.5567627
