Net,params,valid_psnr
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 2, 7, 7, 5, 6, 2, 0, 0, 1, 4, 5]",7200,34.36985397
"[4, 7, 6, 7, 4, 3, 4, 3, 1, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",29696,34.15458425
"[4, 7, 6, 7, 4, 3, 4, 3, 0, 3, 2, 0, 5, 4, 6, 2, 6, 5, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",21504,34.38047409
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 6, 4, 7, 7, 5, 6, 2, 0, 1, 1, 5, 5]",13952,33.70558357
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 3, 2, 0, 5, 4, 6, 2, 7, 5, 7, 7, 5, 6, 2, 0, 1, 1, 4, 5]",8768,34.12910461
"[4, 7, 6, 7, 4, 3, 4, 4, 1, 4, 2, 0, 5, 4, 6, 2, 7, 5, 7, 7, 5, 6, 2, 0, 1, 0, 4, 5]",7472,34.46951294
"[4, 7, 6, 7, 7, 3, 6, 7, 3, 3, 1, 0, 4, 7, 5, 1, 7, 5, 6, 7, 5, 1, 1, 0, 0, 1, 4, 4]",3088,33.40761566
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 3]",533408,35.00905609
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 6, 5, 5, 1, 0, 2, 1, 5, 2, 4, 2, 5, 7, 1, 0, 1, 0]",1281888,35.1940155
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 5, 5, 5, 1, 0, 2, 1, 5, 2, 5, 2, 5, 7, 1, 0, 1, 0]",1249120,34.0932579
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 2, 6, 5, 5, 1, 0, 2, 1, 5, 2, 5, 2, 5, 7, 1, 0, 1, 0]",1380192,34.98712921
"[6, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 6, 5, 5, 1, 0, 2, 1, 5, 2, 5, 2, 5, 7, 1, 0, 1, 0]",780960,35.48802185
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 6, 5, 5, 1, 0, 3, 1, 5, 2, 5, 2, 5, 7, 1, 0, 1, 0]",1380192,34.82844925
"[7, 6, 0, 6, 2, 0, 0, 6, 4, 2, 1, 6, 5, 5, 1, 0, 2, 1, 5, 3, 5, 2, 5, 7, 1, 0, 1, 0]",1380192,35.07762146
"[4, 0, 4, 5, 7, 5, 2, 4, 1, 0, 4, 2, 2, 1, 5, 6, 5, 5, 1, 1, 1, 1, 2, 0, 6, 4, 4, 6]",29616,33.55775833
