Net,train_psnr,valid_psnr
"[7, 5, 3, 7, 5, 1, 4, 2, 6, 5, 3, 0, 7, 6, 6, 6, 2, 2, 5, 1, 7, 1, 4, 7, 4, 0, 5, 4]",29.82467079,28.18861961
"[0, 3, 1, 1, 0, 5, 6, 6, 7, 3, 1, 7, 1, 4, 2, 4, 3, 1, 2, 7, 2, 3, 7, 7, 2, 6, 7, 0]",34.88142776,34.47726822
"[2, 4, 4, 0, 5, 4, 1, 2, 6, 7, 3, 5, 7, 0, 0, 4, 3, 2, 2, 7, 4, 6, 3, 4, 6, 7, 6, 2]",34.94195557,34.3374939
"[1, 1, 0, 2, 4, 1, 6, 4, 3, 6, 6, 5, 1, 7, 0, 1, 0, 6, 6, 1, 5, 2, 1, 0, 7, 4, 2, 3]",34.54674911,33.77000809
"[6, 3, 0, 0, 6, 6, 2, 3, 5, 2, 0, 3, 1, 0, 6, 6, 2, 7, 0, 4, 7, 0, 0, 6, 7, 2, 6, 6]",34.31749344,30.25034142
"[2, 7, 5, 5, 1, 6, 3, 0, 0, 3, 0, 5, 1, 7, 7, 5, 3, 3, 7, 7, 4, 1, 3, 0, 6, 2, 1, 4]",34.83825302,32.83733368
"[3, 2, 7, 0, 5, 2, 4, 4, 4, 0, 4, 0, 3, 0, 0, 0, 7, 4, 3, 5, 1, 3, 2, 7, 2, 6, 4, 6]",34.38243484,34.31455994
"[5, 6, 2, 5, 0, 6, 1, 6, 0, 1, 0, 1, 1, 2, 5, 0, 2, 3, 2, 3, 5, 5, 2, 7, 6, 2, 1, 3]",34.67322159,34.82697296
"[7, 7, 0, 5, 4, 0, 0, 2, 1, 0, 6, 6, 6, 4, 2, 5, 1, 0, 1, 3, 4, 1, 7, 3, 1, 0, 1, 3]",35.65920639,35.00669861
"[2, 5, 0, 5, 2, 5, 1, 5, 2, 6, 5, 5, 3, 4, 4, 5, 6, 2, 3, 5, 7, 1, 0, 0, 6, 0, 2, 7]",29.11499786,26.89904404
"[2, 3, 5, 0, 4, 0, 1, 6, 1, 2, 6, 1, 7, 7, 6, 5, 1, 0, 5, 2, 0, 5, 1, 3, 3, 0, 1, 4]",34.48918915,34.4486084
"[4, 4, 4, 5, 0, 0, 0, 0, 4, 2, 1, 7, 5, 6, 4, 3, 4, 7, 3, 3, 7, 4, 1, 1, 2, 3, 3, 0]",33.24976349,32.51985168
"[0, 2, 2, 1, 5, 2, 4, 3, 2, 3, 2, 4, 3, 4, 7, 0, 2, 0, 4, 6, 5, 6, 7, 4, 4, 4, 0, 7]",30.1213131,29.27781677
"[0, 2, 7, 6, 7, 2, 4, 3, 1, 4, 7, 3, 5, 1, 5, 2, 5, 3, 5, 3, 5, 1, 3, 1, 3, 7, 2, 3]",33.87149048,33.57733536
"[3, 0, 1, 5, 6, 4, 1, 7, 2, 0, 2, 2, 5, 4, 5, 5, 6, 1, 7, 3, 2, 6, 2, 6, 1, 4, 5, 7]",35.49996185,34.77848816
"[2, 1, 6, 0, 3, 1, 2, 1, 1, 6, 3, 7, 7, 7, 1, 0, 4, 3, 2, 4, 5, 1, 0, 2, 3, 6, 2, 4]",32.08735657,32.38144684
"[6, 5, 4, 4, 5, 1, 5, 1, 4, 1, 6, 1, 0, 7, 1, 4, 2, 7, 3, 0, 4, 0, 6, 2, 4, 3, 1, 1]",34.25285721,33.88995743
"[2, 3, 7, 4, 4, 2, 2, 2, 4, 6, 7, 6, 4, 2, 1, 7, 5, 3, 7, 7, 5, 5, 3, 4, 6, 2, 4, 3]",34.80341721,34.38153076
"[0, 6, 5, 6, 2, 6, 6, 0, 5, 5, 4, 6, 4, 4, 3, 0, 6, 4, 3, 6, 7, 2, 4, 2, 6, 1, 4, 5]",34.04797363,33.61325073
"[7, 1, 6, 0, 4, 0, 0, 6, 0, 2, 6, 3, 3, 4, 4, 1, 0, 4, 1, 2, 5, 4, 7, 3, 7, 4, 2, 4]",35.35349655,34.90963745
"[4, 0, 4, 1, 7, 6, 5, 7, 3, 0, 0, 5, 5, 6, 4, 3, 4, 1, 1, 2, 2, 0, 6, 1, 2, 7, 6, 4]",35.13636017,34.442276
"[7, 5, 1, 5, 1, 2, 5, 1, 3, 5, 3, 7, 0, 1, 7, 2, 4, 4, 4, 5, 2, 7, 0, 3, 4, 5, 3, 5]",inf,32.12747192
"[5, 3, 0, 6, 4, 2, 7, 0, 7, 5, 3, 7, 4, 7, 2, 5, 1, 2, 0, 4, 2, 3, 4, 5, 2, 0, 4, 5]",33.85212326,32.11954498
"[6, 2, 7, 1, 6, 7, 6, 0, 1, 6, 2, 3, 0, 0, 3, 4, 6, 2, 1, 6, 5, 7, 6, 2, 0, 7, 3, 0]",34.85586548,34.67129898
"[3, 2, 2, 3, 7, 0, 4, 0, 4, 5, 1, 5, 5, 7, 0, 5, 7, 5, 5, 1, 7, 3, 4, 3, 3, 3, 5, 2]",35.04979706,34.51059723
"[2, 7, 7, 6, 6, 4, 0, 4, 2, 1, 2, 5, 1, 0, 6, 5, 6, 7, 5, 7, 7, 4, 6, 5, 7, 7, 5, 0]",34.63968277,33.3809433
"[1, 1, 0, 2, 0, 5, 2, 2, 6, 4, 1, 6, 3, 1, 7, 6, 3, 3, 2, 2, 4, 7, 2, 3, 0, 0, 6, 2]",34.38302231,33.72366333
"[6, 5, 1, 2, 1, 0, 7, 5, 5, 1, 3, 3, 7, 4, 3, 6, 6, 2, 3, 2, 5, 3, 3, 2, 1, 5, 2, 4]",29.15473747,28.60923958
"[5, 5, 1, 3, 3, 1, 6, 1, 4, 2, 5, 7, 7, 6, 2, 4, 7, 5, 6, 5, 4, 0, 0, 6, 7, 5, 7, 4]",29.3207531,26.36565208
"[2, 3, 5, 3, 2, 7, 4, 1, 1, 2, 5, 4, 4, 0, 5, 2, 5, 1, 6, 3, 1, 5, 2, 2, 7, 6, 4, 3]",32.62783813,32.29369736
"[3, 4, 6, 6, 3, 0, 2, 1, 6, 5, 3, 7, 5, 2, 3, 2, 5, 7, 1, 3, 7, 2, 5, 3, 2, 7, 0, 1]",32.91926956,30.19420433
"[3, 0, 0, 1, 5, 2, 2, 7, 2, 3, 5, 5, 7, 3, 5, 3, 4, 5, 4, 1, 6, 0, 6, 6, 5, 3, 7, 1]",34.10167694,30.51963234
"[6, 1, 4, 1, 4, 7, 6, 2, 4, 1, 2, 4, 0, 3, 2, 3, 6, 0, 0, 3, 2, 4, 3, 1, 5, 0, 0, 6]",34.50547028,34.1407814
"[7, 4, 3, 2, 2, 4, 6, 7, 4, 3, 2, 4, 0, 6, 1, 2, 6, 4, 7, 1, 0, 3, 1, 1, 2, 1, 4, 7]",34.74908066,34.13662338
"[3, 7, 6, 5, 3, 3, 2, 7, 5, 4, 7, 1, 3, 4, 6, 4, 7, 6, 2, 7, 6, 3, 3, 2, 1, 4, 7, 5]",35.17534637,33.20908356
