epoch,loss,psnr,val_loss,val_psnr
0,0.007383168209344149,26.73240089416504,0.0018649264238774776,30.131074905395508
1,0.0015584201319143176,31.770591735839844,0.0012735301861539483,32.435306549072266
2,0.0012585915392264724,33.008758544921875,0.0011481675319373608,32.58376693725586
3,0.0011342796497046947,33.722835540771484,0.001128683565184474,32.15678024291992
4,0.0025754966773092747,32.14548873901367,0.001529678120277822,31.269756317138672
5,0.0013497836189344525,32.60496520996094,0.0010886337840929627,33.49094772338867
6,0.0011491627665236592,33.6822624206543,0.0011746922973543406,31.94108772277832
7,0.0010815708665177226,34.099815368652344,0.0009174476726911962,34.926109313964844
8,0.0010316207772120833,34.49819564819336,0.0008973284857347608,34.887569427490234
9,0.0010090006981045008,34.657562255859375,0.0008740327903069556,35.21354675292969
10,0.000990446307696402,34.850921630859375,0.0008642251486890018,35.06239318847656
11,0.0009689235594123602,34.98309326171875,0.0008410997688770294,35.47884750366211
12,0.0009578540921211243,35.13262176513672,0.0008512588101439178,35.143089294433594
13,0.0009516460122540593,35.1865234375,0.0008324356749653816,35.57147216796875
14,0.0009367106249555945,35.34355926513672,0.0008753600413911045,34.460540771484375
15,0.000932054128497839,35.3399658203125,0.0009506443166173995,33.54196548461914
16,0.000915448646992445,35.51944351196289,0.000815090024843812,35.479671478271484
17,0.0008775096503086388,36.380584716796875,0.0007865585503168404,36.1048469543457
18,0.0008770284475758672,36.29399490356445,0.0007857568562030792,36.00276184082031
19,0.000876608828548342,36.31855010986328,0.0007922406075522304,35.845611572265625
20,0.0008697602315805852,36.379798889160156,0.000801526359282434,35.41700744628906
21,0.0008560908609069884,36.825626373291016,0.0007641969714313745,36.62289047241211
22,0.000854267505928874,36.80119323730469,0.0007654860964976251,36.46179962158203
23,0.0008489124593324959,36.81951141357422,0.000763065938372165,36.55765914916992
24,0.0008506335434503853,36.840763092041016,0.0007645057630725205,36.399620056152344
25,0.0008421146776527166,37.079193115234375,0.0007562277023680508,36.77644729614258
26,0.0008394525502808392,37.06492614746094,0.0007545663393102586,36.78663635253906
27,0.0008404481341131032,37.08818435668945,0.0007535014883615077,36.793033599853516
28,0.0008387176785618067,37.108116149902344,0.0007544343825429678,36.70783615112305
29,0.00083569047274068,37.11726379394531,0.0007531139417551458,36.71683120727539
30,0.0008368951384909451,37.1170654296875,0.0007515876786783338,36.822471618652344
31,0.0008364147506654263,37.13021469116211,0.0007533816387876868,36.681819915771484
32,0.0008338133338838816,37.1473388671875,0.0007527960697188973,36.80864334106445
33,0.0008366307010874152,37.14490509033203,0.0007486836984753609,36.85837173461914
34,0.0008356485050171614,37.135711669921875,0.0007493636221624911,36.8150520324707
35,0.0008329763659276068,37.16813278198242,0.0007483204244635999,36.89430236816406
36,0.000832152902148664,37.18412399291992,0.0007461193017661572,36.89542770385742
37,0.0008307523094117641,37.20004653930664,0.0007466452661901712,36.87537384033203
38,0.0008318585460074246,37.19077682495117,0.0007448139949701726,36.96157455444336
39,0.0008289117831736803,37.20624542236328,0.0007450846605934203,36.943233489990234
40,0.0008323309011757374,37.2156867980957,0.0007461820496246219,36.87287521362305
41,0.0008310906705446541,37.20858383178711,0.000743892218451947,36.959327697753906
42,0.000826201809104532,37.3327522277832,0.0007421973277814686,37.03272247314453
43,0.0008248328231275082,37.333152770996094,0.0007422699127346277,37.009803771972656
44,0.0008228221558965743,37.34343338012695,0.0007412114646285772,37.02110290527344
45,0.0008263830677606165,37.33869171142578,0.0007408075034618378,37.03242874145508
46,0.0008211865788325667,37.39847946166992,0.0007390814716927707,37.09537124633789
47,0.0008225509664043784,37.393367767333984,0.0007390877581201494,37.078556060791016
48,0.0008235991699621081,37.38697052001953,0.0007388850790448487,37.0792350769043
49,0.000824474380351603,37.383243560791016,0.0007387863588519394,37.07649612426758
50,0.0008238890441134572,37.41104507446289,0.000738176517188549,37.107696533203125
51,0.0008208789513446391,37.43132019042969,0.0007381869363598526,37.08818054199219
52,0.0008220602758228779,37.425987243652344,0.0007385116186924279,37.10531234741211
53,0.0008194486727006733,37.433509826660156,0.0007377055590040982,37.10692596435547
54,0.0008197416900657117,37.441627502441406,0.0007375043351203203,37.12032699584961
